"mon","move","usage"
"Abomasnow","blizzard",0.8045843839645386
"Abomasnow","auroraveil",0.6928768157958984
"Abomasnow","protect",0.5126940608024597
"Abomasnow","gigadrain",0.282460480928421
"Alcremie","decorate",0.9669874310493469
"Alcremie","dazzlinggleam",0.5067667961120605
"Alcremie","protect",0.44175857305526733
"Alcremie","helpinghand",0.3891105353832245
"Alomomola","flipturn",0.5899731516838074
"Alomomola","wideguard",0.5505819320678711
"Alomomola","wish",0.3419874608516693
"Alomomola","helpinghand",0.33213967084884644
"Altaria","tailwind",0.6509895920753479
"Altaria","roost",0.5116598010063171
"Altaria","hurricane",0.4601214826107025
"Altaria","sing",0.4305310547351837
"Ambipom","fakeout",0.7823361754417419
"Ambipom","protect",0.4085470139980316
"Ambipom","uturn",0.307407408952713
"Ambipom","",0.2569800615310669
"Amoonguss","spore",0.9911453723907471
"Amoonguss","ragepowder",0.9770302176475525
"Amoonguss","pollenpuff",0.7134712934494019
"Amoonguss","protect",0.7005884051322937
"Ampharos","dazzlinggleam",0.4025973975658417
"Ampharos","thunderbolt",0.38311687111854553
"Ampharos","protect",0.34675323963165283
"Ampharos","voltswitch",0.2792207896709442
"Annihilape","ragefist",0.6724257469177246
"Annihilape","closecombat",0.6612251400947571
"Annihilape","finalgambit",0.5387257933616638
"Annihilape","coaching",0.3939407169818878
"Appletun","appleacid",0.6115515232086182
"Appletun","leechseed",0.4858437180519104
"Appletun","protect",0.4416761100292206
"Appletun","recover",0.3374858498573303
"Araquanid","liquidation",0.9077664613723755
"Araquanid","wideguard",0.8996849060058594
"Araquanid","protect",0.6031510829925537
"Araquanid","leechlife",0.5069137811660767
"Arbok","poisonjab",0.31910112500190735
"Arbok","protect",0.28539326786994934
"Arbok","gunkshot",0.26741573214530945
"Arbok","knockoff",0.2606741487979889
"Arboliva","pollenpuff",0.5552836656570435
"Arboliva","gigadrain",0.4567297101020813
"Arboliva","protect",0.44004449248313904
"Arboliva","earthpower",0.33392658829689026
"Arcanine","flareblitz",0.7002398371696472
"Arcanine","extremespeed",0.6184386014938354
"Arcanine","willowisp",0.5530242323875427
"Arcanine","protect",0.516253650188446
"Arcanine-Hisui","flareblitz",0.9211920499801636
"Arcanine-Hisui","extremespeed",0.7305237650871277
"Arcanine-Hisui","rockslide",0.6632751226425171
"Arcanine-Hisui","headsmash",0.516255259513855
"Archaludon","electroshot",0.9241668581962585
"Archaludon","flashcannon",0.7352889180183411
"Archaludon","bodypress",0.6937767267227173
"Archaludon","dracometeor",0.5334383845329285
"Ariados","protect",0.5010799169540405
"Ariados","ragepowder",0.4989200830459595
"Ariados","leechlife",0.35853132605552673
"Ariados","crosspoison",0.29157668352127075
"Armarouge","expandingforce",0.7223933935165405
"Armarouge","armorcannon",0.633938729763031
"Armarouge","wideguard",0.49148693680763245
"Armarouge","trickroom",0.3503324091434479
"Articuno","blizzard",0.8954952359199524
"Articuno","freezedry",0.7351706624031067
"Articuno","sheercold",0.45229434967041016
"Articuno","icebeam",0.33841633796691895
"Articuno-Galar","freezingglare",0.6532960534095764
"Articuno-Galar","protect",0.4795331358909607
"Articuno-Galar","trickroom",0.47871115803718567
"Articuno-Galar","tailwind",0.40621402859687805
"Avalugg","bodypress",0.8672665953636169
"Avalugg","wideguard",0.7064117193222046
"Avalugg","icespinner",0.3132733404636383
"Avalugg","protect",0.30427446961402893
"Avalugg-Hisui","rockblast",0.49751242995262146
"Avalugg-Hisui","iciclespear",0.4919845163822174
"Avalugg-Hisui","highhorsepower",0.4615809917449951
"Avalugg-Hisui","bodypress",0.33056938648223877
"Azelf","explosion",0.652694582939148
"Azelf","uturn",0.265776127576828
"Azelf","zenheadbutt",0.2445877492427826
"Azelf","protect",0.2427452802658081
"Azumarill","aquajet",0.6580377221107483
"Azumarill","playrough",0.6426973342895508
"Azumarill","bellydrum",0.4841802418231964
"Azumarill","protect",0.46852028369903564
"Banette","trickroom",0.5714285969734192
"Banette","destinybond",0.5081967115402222
"Banette","poltergeist",0.48009368777275085
"Banette","suckerpunch",0.4262295067310333
"Barraskewda","liquidation",0.7506011724472046
"Barraskewda","closecombat",0.6447955965995789
