"pokemon1","pokemon2","compatibility","viability_ceiling_pokemon2"
"Zapdos-Galar","Brute Bonnet",0.01095140352845192,78
"Zapdos-Galar","Farigiraf",0.06354095041751862,85
"Zapdos-Galar","Torkoal",0.023956194519996643,81
"Zapdos-Galar","Regieleki",0.01756787672638893,83
"Zapdos-Galar","Ogerpon-Wellspring-Mask",0.11983800679445267,83
"Zapdos-Galar","Umbreon",0.03393794223666191,79
"Zapdos-Galar","Tyranitar",0.042550764977931976,75
"Zapdos-Galar","Meowscarada",0.010381017811596394,74
"Zapdos-Galar","Ogerpon-Cornerstone-Mask",0.15006844699382782,84
"Zapdos-Galar","Indeedee-Female",0.15725530683994293,83
"Zapdos-Galar","Comfey",0.02737850695848465,78
"Zapdos-Galar","Sylveon",0.012605520896613598,72
"Zapdos-Galar","Rayquaza",0.025553274899721146,77
"Zapdos-Galar","Dragapult",0.010209902189671993,73
"Zapdos-Galar","Volcarona",0.030287474393844604,81
"Zapdos-Galar","Gastrodon",0.01095140352845192,81
"Zapdos-Galar","Gengar",0.012035136111080647,71
"Zapdos-Galar","Weezing",0.013518137857317924,80
"Zapdos-Galar","Sinistcha",0.020134611055254936,83
"Zapdos-Galar","Landorus-Incarnate",0.04380561411380768,86
"Zapdos-Galar","Kyogre",0.018366415053606033,83
"Zapdos-Galar","Zacian-Crowned",0.11476157605648041,83
"Zapdos-Galar","Whimsicott",0.06895961612462997,86
"Zapdos-Galar","Lunala",0.09736482053995132,82
"Zapdos-Galar","Terapagos",0.036447636783123016,83
"Zapdos-Galar","Bronzong",0.013289984315633774,74
"Zapdos-Galar","Tornadus-Incarnate",0.06827515363693237,83
"Zapdos-Galar","Cresselia",0.02292950078845024,83
"Zapdos-Galar","Solgaleo",0.041352953761816025,77
"Zapdos-Galar","Entei",0.013974446803331375,81
"Zapdos-Galar","Ditto",0.014145562425255775,86
"Zapdos-Galar","Giratina-Origin",0.01716860570013523,77
"Zapdos-Galar","Calyrex-Shadow",0.0867556482553482,85
"Zapdos-Galar","Ceruledge",0.01117955707013607,72
"Zapdos-Galar","Regidrago",0.03256901726126671,81
"Zapdos-Galar","Gouging Fire",0.02292950078845024,78
"Zapdos-Galar","Dragonite",0.012833675369620323,85
"Zapdos-Galar","Urshifu-Rapid-Strike",0.06416837871074677,85
"Zapdos-Galar","Metagross",0.01100844144821167,79
"Zapdos-Galar","Arcanine-Hisui",0.013347022235393524,79
"Zapdos-Galar","Ninetales-Alola",0.03969883546233177,83
"Zapdos-Galar","Thundurus-Incarnate",0.017853068187832832,81
"Zapdos-Galar","Walking Wake",0.024241387844085693,79
"Zapdos-Galar","Weezing-Galar",0.020762035623192787,82
"Zapdos-Galar","Indeedee-Male",0.011749942786991596,78
"Zapdos-Galar","Ho-Oh",0.011692904867231846,77
"Zapdos-Galar","Talonflame",0.01733972132205963,81
"Zapdos-Galar","Incineroar",0.15987907350063324,85
"Zapdos-Galar","Hatterene",0.046087153255939484,79
"Zapdos-Galar","Baxcalibur",0.012662559747695923,76
"Zapdos-Galar","Sableye",0.018252339214086533,79
"Zapdos-Galar","Armarouge",0.024526579305529594,73
"Zapdos-Galar","Tinkaton",0.01602783426642418,80
"Zapdos-Galar","Clefairy",0.02258726954460144,84
"Zapdos-Galar","Dondozo",0.012320328503847122,85
"Zapdos-Galar","Raging Bolt",0.10495094954967499,86
"Zapdos-Galar","Iron Treads",0.025496235117316246,82
"Zapdos-Galar","Iron Hands",0.017853068187832832,85
"Zapdos-Galar","Eternatus",0.01745379902422428,80
"Zapdos-Galar","Groudon",0.05082135647535324,81
"Zapdos-Galar","Regigigas",0.01733972132205963,80
"Zapdos-Galar","Pelipper",0.01739676110446453,84
"Zapdos-Galar","Calyrex-Ice",0.1388888955116272,86
"Zapdos-Galar","Ursaluna",0.023728040978312492,83
"Zapdos-Galar","Urshifu-Single-Strike",0.06713438034057617,83
"Zapdos-Galar","Kingambit",0.020876111462712288,82
"Zapdos-Galar","Flutter Mane",0.11567419767379761,83
"Zapdos-Galar","Amoonguss",0.09302988648414612,85
"Zapdos-Galar","Landorus-Therian",0.010495094582438469,83
"Zapdos-Galar","Zamazenta-Crowned",0.029774127528071404,85
"Zapdos-Galar","Ting-Lu",0.052532512694597244,85
"Zapdos-Galar","Chi-Yu",0.1471024453639984,86
"Zapdos-Galar","Iron Valiant",0.046315308660268784,83
"Zapdos-Galar","Excadrill",0.02144649811089039,75
"Zapdos-Galar","Ogerpon-Hearthflame-Mask",0.05618298053741455,85
"Zapdos-Galar","Roaring Moon",0.03410905599594116,83
"Zapdos-Galar","Ursaluna-Bloodmoon",0.052076201885938644,82
"Zapdos-Galar","Gholdengo",0.01654118113219738,85
"Zapdos-Galar","Heatran",0.024697694927453995,82
"Zapdos-Galar","Kyurem-Black",0.018594570457935333,76
"Zapdos-Galar","Miraidon",0.04540269076824188,85
"Zapdos-Galar","Grimmsnarl",0.08373260498046875,84
"Zapdos-Galar","Chien-Pao",0.0816221758723259,85
"Zapdos-Galar","Kyurem-White",0.01659822091460228,83
"Zapdos-Galar","Lapras",0.07015742361545563,71
"Zapdos-Galar","Necrozma-Dusk",0.029888205230236053,75
"Zapdos-Galar","Rillaboom",0.138660728931427,85
"Zapdos-Galar","Koraidon",0.02150353603065014,83
"Zapdos-Galar","Gyarados",0.012377367354929447,73
"Zapdos-Galar","Rhydon",0.0836755633354187,73
"Golurk","Rhydon",0.014297275803983212,73
"Golurk","Groudon",0.014027515426278114,81
"Golurk","Dragapult",0.013757755979895592,73
"Golurk","Urshifu-Single-Strike",0.10925276577472687,83
"Golurk","Suicune",0.010250876657664776,76
"Golurk","Urshifu-Rapid-Strike",0.04181278496980667,85
"Golurk","Incineroar",0.23873752355575562,85
"Golurk","Clefable",0.14890746772289276,74
"Golurk","Chandelure",0.010520637035369873,79
"Golurk","Primarina",0.02023199386894703,77
"Golurk","Smeargle",0.029134070500731468,83
"Golurk","Sableye",0.01807391457259655,79
"Golurk","Ogerpon-Wellspring-Mask",0.017264634370803833,83
"Golurk","Necrozma-Dusk",0.013487995602190495,75
"Golurk","Iron Moth",0.057998381555080414,81
"Golurk","Maushold-Family-of-Four",0.011869436129927635,80
"Golurk","Gengar",0.013218236155807972,71
"Golurk","Raging Bolt",0.06824925541877747,86
"Golurk","Ditto",0.013757755979895592,86
"Golurk","Meowscarada",0.010790396481752396,74
"Golurk","Kingambit",0.023469112813472748,82
"Golurk","Calyrex-Ice",0.03183167055249214,86
"Golurk","Indeedee-Female",0.05206366255879402,83
"Golurk","Archaludon",0.028864311054348946,83
"Golurk","Sinistcha",0.02265983261168003,83
"Golurk","Chi-Yu",0.022120313718914986,86
